planner,object,initial_pose_seed,planner_seed,f@5_auc,recall@5_auc,surface_coverage_auc,final_f@5,final_recall@5,final_chamfer_m,score_gain_correlation,oracle_regret,oracle_action_accuracy,planning_time_s
fixed,Cylinder,12,0,0.812866109875787,0.7042166666666667,0.7042166666666667,0.9612907693373035,0.9254666666666667,0.0025862081690452452,,0.0719015799500626,0.4,0.0
fixed,Cylinder,7,0,0.8099715086832747,0.69635,0.69635,0.950498513206227,0.9056666666666666,0.002777857898048866,,0.06601863794296203,0.4,0.0
fixed,Cylinder,14,0,0.8042443675027056,0.6861166666666666,0.6861166666666666,0.945351637341583,0.8963666666666666,0.0028499726144733534,,0.07579975989316542,0.4,0.0
fixed,Cylinder,2,0,0.8193442397286719,0.7118666666666666,0.7118666666666666,0.9276714385287652,0.8651,0.0032973802988133785,,0.07712743106481898,0.2,0.0
fixed,Cylinder,6,0,0.8165153083241095,0.70645,0.70645,0.9303478152354127,0.8697666666666667,0.002963822366838401,,0.07604563559588011,0.2,0.0
fixed,Cylinder,3,0,0.7980463545843668,0.6830766666666668,0.6830766666666668,0.9514888857821893,0.9074666666666666,0.0026620353281413133,,0.08187614586758411,0.4,0.0
fixed,Cylinder,9,0,0.811987701014699,0.6986399999999999,0.6986399999999999,0.9701692355222958,0.9420666666666667,0.0024427762250310995,,0.07791808098601453,0.4,0.0
fixed,Cylinder,10,0,0.8110159614890486,0.7003333333333334,0.7003333333333334,0.9702399340953557,0.9422,0.0024369997968223724,,0.08055898654032556,0.2,0.0
fixed,Cylinder,5,0,0.7679597144274568,0.6415633333333334,0.6415633333333334,0.9548677036701563,0.9136333333333333,0.0025797094002713095,,0.08285387362429367,0.4,0.0
fixed,Cylinder,11,0,0.8052171457094721,0.6873733333333333,0.6873733333333333,0.9344131280302627,0.8769,0.0030886253802571806,,0.09892904006334169,0.2,0.0
fixed,Cylinder,0,0,0.7485395064283207,0.61882,0.61882,0.8990017615971815,0.8165333333333333,0.003788168006278099,,0.11362761106511685,0.2,0.0
fixed,Cross,8,0,0.7327430878912067,0.6005533333333333,0.6005533333333333,0.9178855483614983,0.8482333333333333,0.0033047830981763025,,0.09000406263223686,0.2,0.0
fixed,Cross,13,0,0.7609477578200762,0.6355966666666667,0.6355966666666667,0.9292406531632015,0.8678333333333333,0.0030396856223864305,,0.09640324212475046,0.2,0.0
fixed,Cross,4,0,0.798561609837932,0.6773866666666667,0.6773866666666667,0.938691760710369,0.8844666666666666,0.0029483859239935843,,0.07850276064474475,0.2,0.0
fixed,Cross,1,0,0.8014128728017871,0.6891999999999999,0.6891999999999999,0.9461111501440315,0.8977333333333334,0.0027847277429312893,,0.08090704946699703,0.4,0.0
fixed,Cross,12,0,0.8118742703646721,0.69762,0.69762,0.9375077473393424,0.8823666666666666,0.002858657523656549,,0.06580168607803694,0.4,0.0
