planner,object,initial_pose_seed,planner_seed,final_pose_coverage,pose_coverage_auc,mean_incremental_pose_novelty_deg,mean_pairwise_view_distance_deg
actnerf,L_Shaped,10,1,0.31640625,0.185546875,54.8494443693516,92.81112799933622
actnerf,L_Shaped,10,2,0.38671875,0.229296875,61.63621548831213,94.76342213121292
actnerf,L_Shaped,11,0,0.3125,0.1765625,62.30509673579148,94.8826056958079
actnerf,L_Shaped,11,1,0.15625,0.12734375,24.21819277494271,65.83610494152975
actnerf,L_Shaped,11,2,0.1875,0.12421875,32.334237542328324,46.943447877654314
actnerf,L_Shaped,12,0,0.35546875,0.22578125,65.88904622553812,97.41684310845805
actnerf,L_Shaped,12,1,0.26953125,0.196875,57.013938951433126,91.22739782409805
actnerf,L_Shaped,12,2,0.32421875,0.1921875,53.29295621068751,94.05994185054969
actnerf,L_Shaped,13,0,0.2578125,0.197265625,39.05373803050326,77.22726387596859
actnerf,L_Shaped,13,1,0.2578125,0.197265625,39.05373803050326,77.22726387596859
actnerf,L_Shaped,13,2,0.23828125,0.178125,43.24922468285531,82.58226804193869
actnerf,L_Shaped,14,0,0.328125,0.204296875,66.6811760116552,100.79807912810578
actnerf,L_Shaped,14,1,0.32421875,0.20703125,63.43695620938731,98.16171507159866
actnerf,L_Shaped,14,2,0.13671875,0.1296875,21.296141455802168,35.4934512131373
actnerf,Thin_Irregular,0,0,0.19140625,0.153125,39.7712992371097,75.26457363237131
actnerf,Thin_Irregular,0,1,0.3203125,0.205859375,65.12590358801313,94.88260569567049
actnerf,Thin_Irregular,0,2,0.26953125,0.19375,57.01393895143315,91.22739782396064
actnerf,Thin_Irregular,1,0,0.30859375,0.17421875,53.84728860346742,96.77074754750114
actnerf,Thin_Irregular,1,1,0.234375,0.176171875,39.053738030091026,77.22726387583117
actnerf,Thin_Irregular,1,2,0.25390625,0.1640625,54.1931320992115,97.57566677456101
actnerf,Thin_Irregular,2,0,0.39453125,0.243359375,73.35705899100388,102.91637152735031
actnerf,Thin_Irregular,2,1,0.26953125,0.174609375,50.92326387358803,89.32754509512435
actnerf,Thin_Irregular,2,2,0.28515625,0.208984375,53.74407072787092,89.43424012857135
actnerf,Thin_Irregular,3,0,0.3359375,0.1921875,62.59020562334619,98.82265718407072
actnerf,Thin_Irregular,3,1,0.20703125,0.140234375,32.33423754109154,46.94344787600527
actnerf,Thin_Irregular,3,2,0.28125,0.21640625,39.109451904082526,72.80767072208018
actnerf,Thin_Irregular,4,0,0.3828125,0.224609375,73.00800000010474,94.76342213121289
actnerf,Thin_Irregular,4,1,0.26171875,0.1515625,57.0139389518454,97.57566677483587
actnerf,Thin_Irregular,4,2,0.328125,0.196484375,67.3705133450328,96.05874543115306
actnerf,Thin_Irregular,5,0,0.33203125,0.228515625,44.60803536406385,100.04267845435375
actnerf,Thin_Irregular,5,1,0.1953125,0.1359375,32.33423754356509,46.943447877654314
actnerf,Thin_Irregular,5,2,0.2734375,0.18828125,53.74407072539741,83.77580077454584
actnerf,Thin_Irregular,6,0,0.3125,0.1734375,58.816035364140305,91.60534512128926
actnerf,Thin_Irregular,6,1,0.2734375,0.18671875,48.76620554619545,83.8886075437655
actnerf,Thin_Irregular,6,2,0.4140625,0.24296875,59.39510996737164,98.05205287645069
actnerf,Thin_Irregular,7,0,0.3203125,0.194140625,50.20570266533261,87.1224467354618
actnerf,Thin_Irregular,7,1,0.3828125,0.220703125,73.00800000010473,94.76342213121288
actnerf,Thin_Irregular,7,2,0.14453125,0.12734375,24.21819277535496,65.83610494139236
actnerf,Thin_Irregular,8,0,0.31640625,0.21640625,48.243145331717784,85.65695311702562
actnerf,Thin_Irregular,8,1,0.328125,0.201171875,66.6811760116552,100.79807912810578
actnerf,Thin_Irregular,8,2,0.27734375,0.2140625,52.28499157332126,88.75242079972612
actnerf,Thin_Irregular,9,0,0.33984375,0.190625,65.34509673692659,100.66995612628176
actnerf,Thin_Irregular,9,1,0.3203125,0.181640625,54.75203536400043,99.56632483054047
actnerf,Thin_Irregular,9,2,0.26171875,0.20546875,50.70407072797257,82.81603536355748
actnerf,Thin_Irregular,10,0,0.1953125,0.16875,22.30410609193168,48.32540406123804
actnerf,Thin_Irregular,10,1,0.265625,0.18125,53.74407072622192,83.7758007753704
actnerf,Thin_Irregular,10,2,0.3828125,0.22421875,65.90400000006652,98.05205287645065
actnerf,Thin_Irregular,11,0,0.26171875,0.172265625,50.92326387358803,87.63744115840382
actnerf,Thin_Irregular,11,1,0.15625,0.12734375,24.21819277494271,65.83610494152975
actnerf,Thin_Irregular,11,2,0.31640625,0.211328125,50.26141654344664,91.63078240939195
actnerf,Thin_Irregular,12,0,0.25390625,0.196875,39.10945190738056,72.80767072372917
actnerf,Thin_Irregular,12,1,0.25,0.184765625,42.140991574621424,84.60464438516145
actnerf,Thin_Irregular,12,2,0.19921875,0.159375,39.771299237109695,75.26457363195901
actnerf,Thin_Irregular,13,0,0.2734375,0.189453125,42.140991573384674,67.64889679829533
actnerf,Thin_Irregular,13,1,0.3203125,0.203515625,53.47557089095609,92.75051624975053
actnerf,Thin_Irregular,13,2,0.3984375,0.242578125,65.90400000006652,98.05205287645067
actnerf,Thin_Irregular,14,0,0.27734375,0.20703125,45.3579654685808,76.71635469437068
actnerf,Thin_Irregular,14,1,0.33203125,0.1875,60.40541654338322,90.90246893141287
actnerf,Thin_Irregular,14,2,0.2109375,0.137109375,32.33423754603858,46.94344787930332
actnerf,green_Pepper,0,0,0.32421875,0.18125,59.918170182673784,93.8449239107501
actnerf,green_Pepper,0,1,0.3203125,0.205859375,65.12590358801313,94.88260569567049
actnerf,green_Pepper,0,2,0.26953125,0.19375,57.01393895143315,91.22739782396064
actnerf,green_Pepper,1,0,0.140625,0.116015625,24.218192775354957,65.83610494098009
actnerf,green_Pepper,1,1,0.35546875,0.2140625,68.50892084730572,95.24110069651123
actnerf,green_Pepper,1,2,0.31640625,0.209375,64.8960353631125,85.32517890505498
actnerf,green_Pepper,2,0,0.34375,0.2234375,65.12590358842537,94.88260569594534
actnerf,green_Pepper,2,1,0.3515625,0.19765625,54.752035363175935,99.56632483026564
actnerf,green_Pepper,2,2,0.28515625,0.208984375,57.0139389518454,91.22739782409806
