level,variant,object,initial_pose_seed,score_map_correlation,action_flip,top_direction_deviation_deg,oracle_regret
mild,ray_gpis_pointwise,Cross,22,0.4493368047608148,0.0,8.773083326358599,0.0
mild,ray_gpis_pointwise,Corner,15,0.02021028839551384,0.15,50.50384048513592,0.0016419975119627728
mild,ray_gpis_pointwise,Corner,16,0.00015839631970807552,0.3,55.57530674927922,0.000447016992823579
mild,ray_gpis_pointwise,Corner,17,0.4200273231860837,0.0,10.515095981742103,0.0
mild,ray_gpis_pointwise,Corner,18,0.5781931649118791,0.0,0.00011459029153797543,0.02611881630827828
mild,ray_gpis_pointwise,Corner,19,0.6729981474593727,0.65,5.667577110726484,0.023906680849345517
mild,ray_gpis_pointwise,Corner,20,0.3715011875789948,0.0,6.72060056886919,0.03592658940354243
mild,ray_gpis_pointwise,Corner,21,0.005096847104600595,0.4,55.58206206334476,0.00010677242521910934
mild,ray_gpis_pointwise,Corner,22,0.3790635371366445,0.0,3.113326374508471,0.0
mild,ray_gpis_pointwise,Bowl,15,0.6703712591554131,0.0,11.210645695632156,0.06712270394539113
mild,ray_gpis_pointwise,Bowl,16,0.5295537451361867,0.25,19.871599157028083,0.00797822339678203
mild,ray_gpis_pointwise,Bowl,17,0.6558106051444087,0.0,4.077584393858247,0.06703065503606931
mild,ray_gpis_pointwise,Bowl,18,0.6394433794918745,0.05,4.757701918146745,0.1680162553235821
mild,ray_gpis_pointwise,Bowl,19,0.6156927715152206,0.0,7.903112741218936,0.07242123661723165
mild,ray_gpis_pointwise,Bowl,20,0.5874815818837262,0.0,8.579363489028756,0.0295867784427557
mild,ray_gpis_pointwise,Bowl,21,0.5502213442764383,0.0,10.189512434417276,0.011432862101496521
mild,ray_gpis_pointwise,Bowl,22,0.7425956718495368,0.0,10.264389729771377,0.032325721594081425
mild,ray_gpis_pointwise,Thin_Irregular,15,0.15196726939803154,0.0,9.280138550488637,0.0
mild,ray_gpis_pointwise,Thin_Irregular,16,0.10999442092011899,0.45,81.83460587224222,0.0007663261560856393
mild,ray_gpis_pointwise,Thin_Irregular,17,0.6572754420347906,0.0,11.866633690046951,0.0
mild,ray_gpis_pointwise,Thin_Irregular,18,0.5856510714694437,0.3,4.031726466438307,0.05104429535807429
mild,ray_gpis_pointwise,Thin_Irregular,19,0.08010306992446783,0.75,78.20192393893555,0.009311122928778549
mild,ray_gpis_pointwise,Thin_Irregular,20,0.5190175454909589,0.0,2.3572049028753765,0.0
mild,ray_gpis_pointwise,Thin_Irregular,21,0.5340314931906613,0.0,2.860156682366007,0.020635330472025815
mild,ray_gpis_pointwise,Thin_Irregular,22,0.5085337748912794,0.45,43.779682620606536,0.024214075863182166
mild,ray_gpis,Cube,15,0.6257347576676585,0.0,0.00011459029153797543,0.03489958663939885
mild,ray_gpis,Cube,16,0.14427010786421082,0.35,81.60811943851328,6.674006056295312e-06
mild,ray_gpis,Cube,17,0.13440114299610892,0.6,84.65206083310225,0.00016067770581282837
mild,ray_gpis,Cube,18,0.8152885028038451,0.0,9.714870465230756,0.0
mild,ray_gpis,Cube,19,0.8002062366995399,0.0,2.4355498552739263,0.0
mild,ray_gpis,Cube,20,0.07370057558410129,0.45,70.01712120284557,8.258669373005234e-05
mild,ray_gpis,Cube,21,0.8620076719406663,0.0,0.00011459029153797543,0.0
mild,ray_gpis,Cube,22,0.6685960746166171,0.0,0.00011459347208369781,0.06795957710602432
mild,ray_gpis,Cylinder,15,0.10012327620737012,0.8,88.61486867129237,0.0004409701342954486
mild,ray_gpis,Cylinder,16,0.7189578207255662,0.0,7.928833675500959,0.004500211895191342
