planner,object,initial_pose_seed,final_pose_coverage,pose_coverage_auc,mean_incremental_pose_novelty_deg,mean_pairwise_view_distance_deg
ray_gpis,Corner,9,0.375,0.220703125,71.24690030789121,95.46551213474096
ray_gpis,Corner,10,0.40234375,0.234765625,80.52573137153765,97.1222511226681
ray_gpis,Corner,11,0.3203125,0.20546875,66.72472357998113,100.70705923261768
ray_gpis,Corner,12,0.38671875,0.225,78.18357727067297,100.78187760305165
ray_gpis,Corner,13,0.30859375,0.222265625,54.427276045984875,93.14725933514721
ray_gpis,Corner,14,0.34375,0.21328125,70.70761814571813,95.91135211555478
ray_gpis,Cross,0,0.34765625,0.230078125,68.16826876274831,97.59192084092724
ray_gpis,Cross,1,0.35546875,0.22265625,60.27692129509968,94.3739594729673
ray_gpis,Cross,2,0.32421875,0.22890625,55.06269902748378,88.53697858965992
ray_gpis,Cross,3,0.32421875,0.1984375,64.06690217671601,90.50066756301422
ray_gpis,Cross,4,0.38671875,0.234375,73.42961135922485,96.5609397487105
ray_gpis,Cross,5,0.3125,0.19453125,72.85900240720817,99.57510807763727
ray_gpis,Cross,6,0.3671875,0.2328125,68.82511859064448,99.98575126039717
ray_gpis,Cross,7,0.3828125,0.226953125,76.56264803016266,98.3760482778018
ray_gpis,Cross,8,0.375,0.226171875,81.67644450732978,98.85176863625519
ray_gpis,Cross,9,0.328125,0.21640625,64.28740598528572,87.21516003306232
ray_gpis,Cross,10,0.359375,0.228125,68.98285340781031,98.21844766012062
ray_gpis,Cross,11,0.34375,0.215625,67.02506513825949,93.46534772368948
ray_gpis,Cross,12,0.359375,0.233203125,72.86301726074213,96.50121907151491
ray_gpis,Cross,13,0.32421875,0.223828125,75.6835561747274,94.82908531760762
ray_gpis,Cross,14,0.375,0.230859375,73.82029522048443,99.2279878179284
ray_gpis,Cube,0,0.35546875,0.226171875,64.49108436784478,93.24289518387558
ray_gpis,Cube,1,0.390625,0.231640625,77.55374162510523,100.41676457256445
ray_gpis,Cube,2,0.3984375,0.232421875,71.66060863167534,100.69845718806931
ray_gpis,Cube,3,0.3671875,0.230859375,67.379112791994,91.82605275662084
ray_gpis,Cube,4,0.359375,0.22890625,66.06325233643109,98.9977609922137
ray_gpis,Cube,5,0.3828125,0.236328125,63.60456531090963,102.51364363588627
ray_gpis,Cube,6,0.32421875,0.205859375,64.84013389642539,87.63229136677509
ray_gpis,Cube,7,0.3984375,0.242578125,74.40618988707222,100.05393959637952
ray_gpis,Cube,8,0.328125,0.217578125,59.8865104904408,96.07200939440821
ray_gpis,Cube,9,0.3828125,0.23203125,67.4157943369161,99.1137427433083
ray_gpis,Cube,10,0.3515625,0.2140625,69.33091581424043,94.79045391268689
ray_gpis,Cube,11,0.31640625,0.21640625,58.298905975028184,87.77742572664552
ray_gpis,Cube,12,0.33984375,0.219140625,68.51724989545498,99.01712086099649
ray_gpis,Cube,13,0.36328125,0.227734375,52.800356808849735,104.21088226596022
ray_gpis,Cube,14,0.296875,0.212109375,59.75653189374096,87.02644371860899
ray_gpis,Cylinder,0,0.39453125,0.2328125,73.96821471033086,101.72777245817072
ray_gpis,Cylinder,1,0.34765625,0.213671875,67.48125460482837,97.37452826953283
ray_gpis,Cylinder,2,0.3671875,0.226171875,73.49765660157065,95.73467305312742
ray_gpis,Cylinder,3,0.39453125,0.2296875,77.99413177456722,102.41613735325319
ray_gpis,Cylinder,4,0.34765625,0.227734375,52.999111417009615,101.74606260736113
ray_gpis,Cylinder,5,0.3671875,0.23671875,67.48204870873654,98.8471185122834
ray_gpis,Cylinder,6,0.3828125,0.2328125,67.96050392442575,100.52518914632496
ray_gpis,Cylinder,7,0.39453125,0.240625,77.29128666617488,97.50785029692571
ray_gpis,Cylinder,8,0.40625,0.238671875,79.89704317826491,103.05011873749635
ray_gpis,Cylinder,9,0.35546875,0.209765625,72.89073610301672,97.14777868931763
ray_gpis,Cylinder,10,0.33984375,0.228515625,66.0568680366106,95.7085546625279
ray_gpis,Cylinder,11,0.328125,0.212890625,57.726747866234085,100.2849446745415
ray_gpis,Cylinder,12,0.3984375,0.235546875,78.87208478285096,102.03564719369041
ray_gpis,Cylinder,13,0.390625,0.2328125,69.6031112901613,101.56517819245477
