sequence,keyframes,condition,trial,target_rotation_rms_deg,target_translation_rms_mm,actual_rotation_rms_deg,actual_rotation_p95_deg,actual_translation_rms_mm,actual_translation_p95_mm,clean_points,reconstruction_points,chamfer_l1_mm,pred_to_ref_mean_mm,ref_to_pred_mean_mm,precision_2mm,recall_2mm,fscore_2mm,precision_5mm,recall_5mm,fscore_5mm,precision_10mm,recall_10mm,fscore_10mm
capture_001,164,10deg_10mm,5,10.0,10.0,10.0,15.680186669812832,10.000000000000002,15.944491448032764,45532,74433,1.9878563628885288,2.38932351753295,1.5863892082441078,0.6313166666666666,0.8838838618993236,0.7365501831534488,0.8855666666666666,0.9640033383115172,0.9231218290373807,0.9756833333333333,0.9830888166564175,0.9793720761274602
capture_001,164,10deg_10mm,6,10.0,10.0,10.0,17.70604357287746,10.000000000000002,14.90555330478497,45532,70947,2.031416439129881,2.374982464097337,1.6878504141624247,0.6241833333333333,0.8531582183958535,0.7209262340123633,0.8900833333333333,0.9549767196696829,0.9213888301530898,0.9822166666666666,0.9828472283229377,0.982531846325572
capture_001,164,10deg_10mm,7,10.0,10.0,10.0,15.819384558467783,10.0,15.399112059623963,45532,70763,2.0547136876493637,2.405259043240618,1.7041683320581094,0.6336666666666667,0.8666652024949486,0.7320738314888233,0.8853833333333333,0.9622024070983045,0.9221958752929393,0.98105,0.9816832118070807,0.9813665037609796
capture_001,164,10deg_10mm,8,10.0,10.0,9.999999999999998,15.918170492446329,10.0,16.16860211105236,45532,73631,2.1185476005932165,2.5313318479276252,1.7057633532588072,0.61165,0.8626899762804182,0.7157973499750732,0.8774833333333333,0.9633005358868488,0.9183915389152856,0.9734,0.9821005007467276,0.9777308950438165
capture_001,164,10deg_10mm,9,10.0,10.0,10.0,15.352967202634575,10.000000000000002,15.609279235258517,45532,76734,2.2207187212219233,2.6911099320013845,1.7503275104424616,0.5837833333333333,0.8478213124835281,0.6914534027517979,0.8594833333333334,0.9688351049811121,0.9108890530548855,0.9712,0.9823860142317491,0.9767609821849317
capture_001,164,10deg_10mm,10,10.0,10.0,10.0,14.416877343824627,10.0,15.642569642913891,45532,76280,2.152119611677173,2.558035553694807,1.7462036696595384,0.5934333333333334,0.8605156812791004,0.7024437363275529,0.88235,0.9662215584643767,0.9223831105778336,0.9774,0.9817271369586225,0.9795587897914187
capture_001,164,10deg_10mm,11,10.0,10.0,10.0,15.962901518711936,10.0,14.48580738608829,45532,77430,2.150896247298816,2.628605465056423,1.6731870295412097,0.5899833333333333,0.8651278221909866,0.7015422764891515,0.8631666666666666,0.9648598787665817,0.9111846733691384,0.9701833333333333,0.9800579812000352,0.9750956581371497
capture_001,164,10deg_10mm,12,10.0,10.0,10.0,15.253978855334433,10.0,18.08993964926862,45532,73297,2.0403795587484415,2.4430081152495653,1.6377510022473178,0.6279,0.8801502240182728,0.7329282763388618,0.8828666666666667,0.9666168848282527,0.9228455439490088,0.9751166666666666,0.9821883510498112,0.9786397339663435
capture_001,164,10deg_10mm,13,10.0,10.0,9.999999999999998,14.751644978117978,10.0,15.909500882041174,45532,76439,2.14693956677111,2.6264396496803113,1.6674394838619093,0.5989166666666667,0.865808662039884,0.7080470688630275,0.8603833333333334,0.9622902574013881,0.9084879525394942,0.9728333333333333,0.9816832118070807,0.9772382368357451
capture_001,164,10deg_10mm,14,10.0,10.0,10.0,17.077445739892003,9.999999999999998,15.234315963094408,45532,73666,2.1052692209573687,2.556493634870587,1.6540448070441498,0.6102,0.8649960467363612,0.715593820748432,0.8705833333333334,0.9598084863392778,0.9130212038953781,0.9707666666666667,0.9816612492313098,0.9761835619665575
