planner,object,initial_pose_seed,final_pose_coverage,pose_coverage_auc,mean_incremental_pose_novelty_deg,mean_pairwise_view_distance_deg
ray_gpis_hit_only,L_Shaped,15,0.35546875,0.2125,69.65949619265244,96.78493746939053
ray_gpis_hit_only,L_Shaped,16,0.3515625,0.2296875,55.482092246562786,90.7954416072625
ray_gpis_hit_only,L_Shaped,17,0.3359375,0.20703125,67.838713596741,88.09413509493059
ray_gpis_hit_only,L_Shaped,18,0.38671875,0.228515625,74.89678914680593,102.60896798579135
ray_gpis_hit_only,L_Shaped,19,0.3515625,0.213671875,67.03258647851645,96.23150013879504
ray_gpis_hit_only,L_Shaped,20,0.33984375,0.188671875,63.268299838984355,94.31210495835619
ray_gpis_hit_only,L_Shaped,21,0.34765625,0.197265625,69.80323176965204,92.72656690618867
ray_gpis_hit_only,L_Shaped,22,0.33203125,0.208984375,61.86716055990316,88.76424146922791
ray_gpis_hit_only,Thin_Irregular,15,0.359375,0.223046875,69.68953855417321,93.92222936630922
ray_gpis_hit_only,Thin_Irregular,16,0.37890625,0.229296875,68.6447926496525,103.61371889281956
ray_gpis_hit_only,Thin_Irregular,17,0.33984375,0.223828125,60.61378774868937,99.61046533521606
ray_gpis_hit_only,Thin_Irregular,18,0.359375,0.20546875,65.29968518587246,99.45563094240772
ray_gpis_hit_only,Thin_Irregular,19,0.32421875,0.1984375,64.66902118200645,99.46533781618203
ray_gpis_hit_only,Thin_Irregular,20,0.3984375,0.23203125,69.52867701555026,101.88754468472054
ray_gpis_hit_only,Thin_Irregular,21,0.38671875,0.223828125,75.97854120162634,101.17661565939311
ray_gpis_hit_only,Thin_Irregular,22,0.34765625,0.221484375,73.47496639721996,96.41192464901502
ray_gpis_hit_only,green_Pepper,15,0.34765625,0.203125,69.52946581482077,102.22816179045738
ray_gpis_hit_only,green_Pepper,16,0.38671875,0.229296875,67.95289710453693,101.24905871141733
ray_gpis_hit_only,green_Pepper,17,0.28125,0.1953125,57.94549350624793,90.08742017470558
ray_gpis_hit_only,green_Pepper,18,0.37109375,0.230859375,65.91370479601164,101.3457387249956
ray_gpis_hit_only,green_Pepper,19,0.359375,0.218359375,74.79077070339564,93.84441587529612
ray_gpis_hit_only,green_Pepper,20,0.4140625,0.24296875,81.01694773016345,101.99152699855323
ray_gpis_hit_only,green_Pepper,21,0.27734375,0.203515625,56.12928290096558,87.31687781629398
ray_gpis_hit_only,green_Pepper,22,0.38671875,0.230078125,70.82758610060161,104.19725558777749
