object,initial_pose_seed,mean_branch_first_second_error_deg,max_branch_first_second_error_deg,planner,selected_action,selected_gain_f@5,selected_gain_recall@5,selected_chamfer_reduction_mm,selected_recovery_recall@5,score_gain_correlation,oracle_regret_f@5,oracle_action_accuracy,selected_first_second_error_deg,selected_accepted_frames,planning_time_s
Cylinder,0,43.68875455288538,62.36265620934178,pose_novelty,minus_x,0.38403339880342025,0.5477000000000001,10.565634300479324,0.9729969799253864,0.5,0.0,1.0,17.62276010128139,18,0.0001804899948183447
Cylinder,0,43.68875455288538,62.36265620934178,ray_gpis,plus_z,0.3793921629673753,0.5386,10.602798167214152,0.9568306981701901,-0.5,0.004641235836044921,0.0,62.36265620934178,25,0.5507198489940492
Cylinder,1,50.546035866211774,65.02729438501424,pose_novelty,minus_x,0.24044791734622828,0.3368,7.210475755510647,0.6927876045523105,1.0,0.0,1.0,65.02729438501424,16,0.0001728530041873455
Cylinder,1,50.546035866211774,65.02729438501424,ray_gpis,minus_x,0.24044791734622828,0.3368,7.210475755510647,0.6927876045523105,1.0,0.0,1.0,65.02729438501424,16,0.9252352249895921
Cylinder,2,35.812683684674056,62.36592637265595,pose_novelty,minus_y,0.11717763355750765,0.13210000000000005,4.478184772412815,0.23462198804096857,-0.5,0.26369112015105856,0.0,37.53165945557821,8,0.0001722470042295754
Cylinder,2,35.812683684674056,62.36592637265595,ray_gpis,minus_x,0.3808687537085662,0.5413666666666668,10.629975880936271,0.9615179681487183,0.5,0.0,1.0,7.540465225788005,24,0.13933297801122535
Cylinder,3,52.627257223484946,65.02729438501424,pose_novelty,minus_y,0.10697340942919653,0.11560000000000004,4.013826330761363,0.1970902477835872,-0.5,0.20948872490238224,0.0,37.53165945557821,8,0.00019840399909298867
Cylinder,3,52.627257223484946,65.02729438501424,ray_gpis,minus_x,0.31646213433157877,0.4072,9.798316363619545,0.6942486928847466,1.0,0.0,1.0,65.02729438501424,16,0.12241026999254245
Cylinder,4,37.843628713921206,62.36265620934178,pose_novelty,minus_x,0.42491705363608623,0.5776333333333333,12.94833545908856,0.9399295201951748,0.5,0.0,1.0,17.62276010128139,18,0.00017359599587507546
Cylinder,4,37.843628713921206,62.36265620934178,ray_gpis,minus_x,0.42491705363608623,0.5776333333333333,12.94833545908856,0.9399295201951748,1.0,0.0,1.0,17.62276010128139,18,0.12703524899552576
Cylinder,5,48.2979543330232,65.46209248772897,pose_novelty,minus_y,0.3651454012445753,0.5091999999999999,10.559121608459446,0.9009317136454771,0.5,0.0,1.0,34.342365132754,24,0.00019477098248898983
Cylinder,5,48.2979543330232,65.46209248772897,ray_gpis,plus_z,0.33535678322041607,0.45449999999999996,9.978015287861119,0.8052836419389079,0.5,0.02978861802415922,0.0,65.46209248772897,11,0.1367929300031392
Cylinder,6,47.88619490640164,69.66690726912759,pose_novelty,minus_y,0.13425106521601882,0.22093333333333343,2.8653956434522865,0.7545237282348924,-0.5,0.023967008438786297,0.0,18.668859620214928,8,0.0002029839961323887
Cylinder,6,47.88619490640164,69.66690726912759,ray_gpis,plus_z,0.1412516027082622,0.23403333333333343,3.06295199650826,0.7990212814384887,-0.5,0.01696647094654291,0.0,55.322817829862394,12,1.0760719350073487
Cylinder,7,44.24960308424929,65.02729438501424,pose_novelty,minus_x,0.3014879606701477,0.4085333333333333,8.790017245281629,0.7490526830460824,0.5,0.0,1.0,65.02729438501424,16,0.00018692101002670825
Cylinder,7,44.24960308424929,65.02729438501424,ray_gpis,minus_x,0.3014879606701477,0.4085333333333333,8.790017245281629,0.7490526830460824,0.5,0.0,1.0,65.02729438501424,16,0.12208997301058844
Cylinder,8,34.92243824579896,65.46209248772897,pose_novelty,minus_x,0.3651280016984917,0.509,10.322880901950533,0.9001414760669654,1.0,0.0,1.0,20.636362629452986,16,0.00019536400213837624
Cylinder,8,34.92243824579896,65.46209248772897,ray_gpis,plus_z,0.3254820446527593,0.43689999999999996,9.626599777971654,0.7726361707144541,-1.0,0.03964595704573237,0.0,65.46209248772897,11,0.14054531599686015
Cylinder,9,56.52149769912058,69.66690726912759,pose_novelty,minus_x,0.39544547952802334,0.5627333333333333,11.548511519030239,0.9854649465880567,0.5,0.0,1.0,69.66690726912759,23,0.00019695601076819003
Cylinder,9,56.52149769912058,69.66690726912759,ray_gpis,plus_z,0.3510466879216865,0.4784,10.529764355266487,0.8383048275056915,-0.5,0.04439879160633686,0.0,62.36592637265595,13,0.8605165850021876
Cylinder,10,52.84539303309185,62.36592637265595,pose_novelty,minus_x,0.31186042729968244,0.42523333333333335,9.405132605622827,0.7766009252495739,1.0,0.0,1.0,45.08940537858663,17,0.0001962300157174468
Cylinder,10,52.84539303309185,62.36592637265595,ray_gpis,minus_x,0.31186042729968244,0.42523333333333335,9.405132605622827,0.7766009252495739,0.5,0.0,1.0,45.08940537858663,17,0.1213848629995482
Cylinder,11,48.68736012596171,65.02729438501424,pose_novelty,minus_x,0.3277408230236879,0.45896666666666663,9.275818613394383,0.8499506416584403,1.0,0.0,1.0,65.02729438501424,16,0.0004425829974934459
